round,target,predecessor,branch,validation_status
7,28,804,E,ok
7,28,806,E,ok
7,28,808,E,ok
7,28,810,E,ok
7,28,812,E,ok
7,28,814,E,ok
7,28,816,E,ok
7,28,818,E,ok
7,28,820,E,ok
7,28,822,E,ok
7,28,824,E,ok
7,28,826,E,ok
7,28,828,E,ok
7,28,830,E,ok
7,28,832,E,ok
7,28,834,E,ok
7,28,836,E,ok
7,28,838,E,ok
7,28,840,E,ok
7,30,900,E,ok
7,30,902,E,ok
7,30,904,E,ok
7,30,906,E,ok
7,30,908,E,ok
7,30,910,E,ok
7,30,912,E,ok
7,30,914,E,ok
7,30,916,E,ok
7,30,918,E,ok
7,30,920,E,ok
7,30,922,E,ok
7,30,924,E,ok
7,30,926,E,ok
7,30,928,E,ok
7,30,930,E,ok
7,30,932,E,ok
7,30,934,E,ok
7,30,936,E,ok
7,30,938,E,ok
7,30,940,E,ok
7,30,942,E,ok
7,30,944,E,ok
7,30,946,E,ok
7,30,948,E,ok
7,30,950,E,ok
7,30,952,E,ok
7,30,954,E,ok
7,30,956,E,ok
7,30,958,E,ok
7,30,960,E,ok
7,32,1024,E,ok
7,32,1026,E,ok
7,32,1028,E,ok
7,32,1030,E,ok
7,32,1032,E,ok
7,32,1034,E,ok
7,32,1036,E,ok
7,32,1038,E,ok
7,32,1040,E,ok
7,32,1042,E,ok
7,32,1044,E,ok
7,32,1046,E,ok
7,32,1048,E,ok
7,32,1050,E,ok
7,32,1052,E,ok
7,32,1054,E,ok
